,0,1,2,3,4
1019,"""1945: 12 Städte, 12 Schicksale""",(2015),Leipzig, Germany,"(51.3406321, 12.3747329)"
1022,"""1945: 12 Städte, 12 Schicksale""",(2015),Aue, Saxony,"(-24.7761086, 134.755)"
1032,"""1945: 12 Städte, 12 Schicksale""",(2015),Crailsheim, Baden-Württemberg,"(49.1365626, 10.0720195)"
1046,"""2 Old Goats on Hogs""",(2015),Georgetown, Texas,"(6.8137426, -58.1624465)"
1056,"""1945: 12 Städte, 12 Schicksale""",(2015),Hel Peninsula, Pomorskie,"(60.1668581, 24.9614441)"
1064,"""1945: 12 Städte, 12 Schicksale""",(2015),Beiden, Mecklenburg-Western Pomerania,"(53.7885163, 10.6768169)"
1067,"""5 Cents & the Boyz""",(2015),Dublin, Ireland,"(53.3497645, -6.2602732)"
1080,"""1945: 12 Städte, 12 Schicksale""",(2015),Zeppelinfeld, Nürnberg,"(49.42543325, 11.130172394402148)"
1084,"""A Única Mulher""",(2015),Lisbon, Portugal,"(38.7077507, -9.1365919)"
1106,"""1945: 12 Städte, 12 Schicksale""",(2015),Vogelsang, Zehdenick,"(53.7245663, 14.1643535)"
1119,"""1945: 12 Städte, 12 Schicksale""",(2015),Merseburg, Saxony-Anhalt,"(51.3564413, 11.996148)"
1138,"""1945: 12 Städte, 12 Schicksale""",(2015),Plzen, Czech Republic,"(49.7477415, 13.3775249)"
1141,"""360@""",(2015),USA,,"(39.7837304, -100.4458825)"
1154,"""1945: 12 Städte, 12 Schicksale""",(2015),Eisenach, Thuringia,"(50.9747134, 10.3193565)"
1174,"""800 Words""",(2015),Broken Hill, New South Wales,"(-31.965, 141.4511111)"
1176,"""800 Words""",(2015),Warkworth, New Zealand,"(55.3477629, -1.6103256)"
1177,"""1945: 12 Städte, 12 Schicksale""",(2015),Postoloprty, Czech Republic,"(50.3600554, 13.7028467)"
1211,"""1945: 12 Städte, 12 Schicksale""",(2015),Karlovy Vary, Czech Republic,"(50.2304694, 12.8710769)"
1214,"""1945: 12 Städte, 12 Schicksale""",(2015),Tangermünde, Saxony-Anhalt,"(52.5431104, 11.9722524)"
1228,"""12 Monkeys""",(2015),Kratovo, Macedonia,"(42.079261, 22.1802182)"
1233,"""1945: 12 Städte, 12 Schicksale""",(2015),Germany,,"(51.0834196, 10.4234469)"
1238,"""120 Seconds""",(2015),Austin, Texas,"(30.2711286, -97.7436995)"
1248,"""A Game of Darts""",(2015),New York City, New York,"(40.7127281, -74.0060152)"
1251,"""A Book a City""",(2015),Berlin, Germany,"(52.5170365, 13.3888599)"
1252,"""1945: 12 Städte, 12 Schicksale""",(2015),Bielefeld, North Rhine-Westphalia,"(52.0191005, 8.531007)"
